6.12E+17,@aandraous @britishmuseum @AndrewsAntonio Merci pour le partage! @openwinemap,nocode
6.14E+17,Dorian Gray with Rainbow Scarf #LoveWins (from @britishmuseum http://t.co/Q4XSwL0esu) http://t.co/h0evbTBWRq,happy
6.15E+17,@SelectShowcase @Tate_StIves ... Replace with your wish which the artist uses in next installation! It was entralling!,happy
6.15E+17,@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum,happy
6.12E+17,@britishmuseum @TudorHistory What a beautiful jewel / portrait. Is the 'R' for Rex ?,happy
6.12E+17,@NationalGallery @ThePoldarkian I have always loved this painting.,happy
6.14E+17,"@britishmuseum say wot, mate?",nocode
6.14E+17,Two workshops on evaluating audience engagement @NationalGallery + @Cambridge_Uni early July http://t.co/8X3nLQVfQg http://t.co/4pNnjGzmEP,nocode
6.11E+17,"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas (@FitzMuseum_UK) http://t.co/e2MUQsbRBR",nocode
6.15E+17,Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00,happy
6.13E+17,"""1...2..."" ""non arrête mon brush!"". l.Alma|A favourite custom|1909 @NationalGallery #bonlundi http://t.co/HpjvSJHGhP",nocode
6.14E+17,"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... http://t.co/wdV2lzmgLu via @NationalGallery",nocode
6.14E+17,Yr 9 art students are off to the @britishmuseum today. Enjoy!,happy
6.11E+17,@NationalGallery Indeed,nocode
6.12E+17,“@britishmuseum: More #Waterloo200? Live #Periscope tonight with Dan Snow @thehistoryguy in #BonaparteAndTheBritish http://t.co/yEav7l6Lpq”,nocode
6.14E+17,@RAMMuseum Please vote for us as @sainsbury #sidwell's local charity PRT http://t.co/IguyWk5MJT http://t.co/5kPGLNeW4H,not-relevant
6.11E+17,#AskTheGallery Have you got plans to privatise any other roles @NationalGallery ?,not-relevant
6.11E+17,New digital installation by Girton Artist in Residence @SonnyVadgama will be projected on the façade of the @FitzMuseum_UK tonight from 9pm!,nocode
6.13E+17,@BarbyWT @britishmuseum so beautiful,happy
6.13E+17,I'm with (with Sussanna at @nationalgallery) [pic] — https://t.co/RT5OXRAmvR,nocode
6.15E+17,@britishmuseum awesome museum,happy
6.10E+17,@nationalgallery #AskTheGallery Why do you pay your brilliant staff so poorly?,angry
6.12E+17,A sneak peek @BritishMuseum’s #IndigenousAustralia exhibition http://t.co/cZFrjkM2pK,nocode
6.15E+17,Couldn't agree more ; counting the days till we see @kettlesyard again ! https://t.co/5Re1PZr3HZ,nocode
6.13E+17,#bennicholson @kettlesyard http://t.co/niI8OQYb3e http://t.co/RBMeP7d3tM,nocode
6.13E+17,@museum140 @NationalGallery of course! #InstaMuseum,nocode
6.14E+17,@britishmuseum soo beautiful,happy
6.12E+17,"@NationalGallery I do, I do, I do. :)",happy
6.13E+17,@tateliverpool one of my favourite paintings! He was a great artist,happy
6.14E+17,Free CPD afternoon for @PlymouthMuseum's 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at http://t.co/2ctn5flODc,nocode
6.14E+17,The Magna Carta exhibition @britishmuseum was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,happy
6.13E+17,"Over 100 people signed up for 'What's It Worth?' @britishmuseum! Don't miss out, book now! #cdavalue #PhDchat #ahrc10 http://t.co/ToFPL9m2YY",not-relevant
6.11E+17,@plymouthcc @PlymouthMuseum,nocode
6.13E+17,"Kudos, @FitzMuseum_UK, for a top-flight WC exhibition!",happy
6.15E+17,"Jack from @britishmuseum blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection - http://t.co/Tkd8aep3OT",nocode
6.11E+17,@_TheWhitechapel @mitpress @monoskop http://t.co/fxp5kjuGV2,nocode
6.12E+17,@stiveshouse @MillenniumArt @Tate_StIves @Tremenheere ooh... Please let us know how it is!!!,happy
6.12E+17,I miss Cornwall so much. #ff @FernPitCafe @PentireNewquay @FalconInnMawgan @trebahgarden @Tate_StIves @NewquayRNLI @HeliganGardens,not-relevant
6.11E+17,£10 off @accessart http://t.co/0biFQaXTQg membership plus offers from @royalacademy  @NationalGallery with @CASSART http://t.co/6JTpkIzyGg,not-relevant
6.12E+17,@britishmuseum @Ophiolatrist Spain? Egypt?,nocode
6.15E+17,Enjoying the amazing collections @britishmuseum with the family http://t.co/nSbD7DwNM1,happy
6.15E+17,"Ædwen's Brooch - story of an #AngloSaxon lady, filmed at @WestStowNews for @ElyMuseum &amp; @britishmuseum exhibition https://t.co/oRdig1DerL",nocode
6.11E+17,@NationalGallery Beautiful painting.  Thank you.,happy
6.13E+17,#definingbeauty @britishmuseum a truly breathtaking exhibition.fascinating on portrayals of women http://t.co/lyoR6HJEqL,happy
6.13E+17,@DavidSmithArt @ThelmaHulbert @LisaLooly @DrawntoDevon @MooseAllain @roshvarosha haha not in my case...,nocode
6.12E+17,The Great Court of the @britishmuseum #london. #photography http://t.co/6Oy3PPHnXy,nocode
6.15E+17,@NationalGallery https://t.co/GHm3lO0hXY 👋🎨,nocode
6.13E+17,"@britishmuseum It's one of them things, innit?",nocode
6.13E+17,Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* https://t.co/tJmlzSRVvv @_TheWhitechapel #London #Art,nocode
6.15E+17,"@laiyaharvey thank you for the favourite, following you back, your mum @Andjustbeingme did a great job at #DefeatingDepression @RAMMuseum",happy
6.13E+17,Treats for the end of June @HeatonsArtTrail followed by #JacksonPollock @tateliverpool *perfect summer*,happy
